"testament","book","title","chapter","verse","text","version","language"
"NT",777,"Gospel of Mary Magdalene",1,0,"[Pages 1 through 6 are missing]","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,1,"``Will matter be destroyed?''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,2,"The Savior said:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,3,"``Every form of nature, every creature, exists in each other, but each will dissolve into their own root, for the nature of matter is that it breaks down to things of its nature alone. Those that have an ear, let them hear.''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,4,"Peter said to Him: ``As you have told us all about matter, tell us this: what is the sin of the world?''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,5,"The Savior answered:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,6,"``There is no sin of the world. It is you who make sin exist when you do things, like adultery. This is what we call sin.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,7,"Because of this, the Lord comes into your midst, to restore nature within the roots.''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,8,"Then He continued:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,9,"``This is why you get sick and why you die, for you love that which deceives you.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,10,"Those that have an ear, let them hear.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,11,"Matter gave rise to a passion which was not there in the original image, which came from something against nature. From that, a disturbance overtakes the body.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,12,"This is why I tell you: be content of heart and if you be discontent find content in the presence of nature.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,13,"Those who have an ear, let them hear.''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,14,"When the Blessed One had said these things, He greeted them and said:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,15,"``Peace be to you, and may my peace be acquired within you.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,16,"Be careful. Let nobody mislead you by saying","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,17,"Look, here in this direction!' or 'Look, here in this place!'.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,18,"The Son of Man exists within you.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,19,"Those that seek Him, find Him.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,20,"Go then, and spread the Gospel of the Kingdom.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",1,21,"Do not lay any rules down beyond what I have told you, nor give laws like the lawgiver,","KSGM","EN"
