"testament","book","title","chapter","verse","text","version","language"
"NT",777,"Evangelio de Maria",1,1,"[Páginas 1 a 6 se perdieron]","RSEM","ES"
"NT",777,"Evangelio de Maria",1,2,"``Será destruida la materia?''","RSEM","ES"
"NT",777,"Evangelio de Maria",1,3,"El Salvador dijo:","RSEM","ES"
"NT",777,"Evangelio de Maria",1,4,"``Toda forma de la naturaleza, cada criatura, existe una en la otra, pero cada una se disolverá en su propia raíz, porque la naturaleza de la materia es que se desintegra en cosas de su naturaleza. El que tenga oído para oír, oiga''.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,5,"Pedro le dijo: ``Como nos has dicho todo acerca de la materia, dinos esto: ¿cuál es el pecado de el mundo?''","RSEM","ES"
"NT",777,"Evangelio de Maria",1,6,"El Salvador respondió:","RSEM","ES"
"NT",777,"Evangelio de Maria",1,7,"“No hay pecado de el mundo. Eres tú quien hace existir el pecado cuando haces cosas como el adulterio.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,8,"Esto es lo que llamamos pecado.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,9,"Por eso el Señor viene en medio de ustedes,","RSEM","ES"
"NT",777,"Evangelio de Maria",1,10,"para restaurar la naturaleza dentro de las  raíces”.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,11,"Luego continuó:","RSEM","ES"
"NT",777,"Evangelio de Maria",1,12,"“Por eso te enfermas y por eso mueres,","RSEM","ES"
"NT",777,"Evangelio de Maria",1,13,"porque amas lo que te engaña.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,14,"El que tenga oído para oír, oiga.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,15,"La materia dio lugar a una pasión","RSEM","ES"
"NT",777,"Evangelio de Maria",1,16,"que no estaba en la imagen original,","RSEM","ES"
"NT",777,"Evangelio de Maria",1,17,"que vino de algo contra natura.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,18,"A partir de ahí,","RSEM","ES"
"NT",777,"Evangelio de Maria",1,19,"una perturbación se apodera del cuerpo.","RSEM","ES"
"NT",777,"Evangelio de Maria",1,20,"Por eso digo:","RSEM","ES"
"NT",777,"Evangelio de Maria",1,21,"conténtate de corazón y si estás descontento,","RSEM","ES"
"NT",777,"Evangelio de Maria",1,22,"conténtate en la presencia de la naturaleza.","RSEM","ES"
